City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
11,Kapaa,US,81.48,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
18,San Pedro,PH,81.63,few clouds,14.35,121.0167,Palines Apartment and Guesthouse
29,Butaritari,KI,81.7,light rain,3.0707,172.7902,Isles Sunset Lodge
36,Atar,MR,87.15,clear sky,20.5169,-13.0499,Oumou Elghoura
47,Hilo,US,86.29,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
56,Victoria,HK,83.32,clear sky,22.2855,114.1577,Mini Central
73,Jaisalmer,IN,85.24,clear sky,26.9147,70.9181,Hotel Fifu
74,Santa Cruz Del Norte,CU,80.83,overcast clouds,23.1539,-81.9236,Rioger Art
89,Seondha,IN,81.43,clear sky,26.1578,78.7797,रामोराम मंदिर (पं. लक्ष्मी कांत दीक्षित)
95,Parana,AR,82.54,clear sky,-31.732,-60.5238,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
98,Progreso,MX,87.91,clear sky,21.2833,-89.6667,Playa Linda Hotel
100,Kavieng,PG,80.71,light rain,-2.5744,150.7967,Nusa Island Retreat
104,Cayenne,GF,89.64,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
114,Russell,US,81.91,clear sky,32.3502,-85.1999,Macs
124,Bell Ville,AR,83.66,scattered clouds,-32.6259,-62.6887,Hotel Central
131,Ingleside,US,86.22,clear sky,27.8778,-97.2117,Quality Inn Ingleside - Corpus Christi
132,Gizo,SB,80.92,light rain,-8.103,156.8419,Imagination Island
133,Bull Savanna,JM,81.07,overcast clouds,17.8868,-77.5902,Big Red's
134,Hithadhoo,MV,81.61,overcast clouds,-0.6,73.0833,Scoop Guest House
141,Laguna,US,86.31,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
142,Makakilo City,US,81.99,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
143,Upata,VE,87.19,overcast clouds,8.0086,-62.3989,Posada Villa Nela
147,Kavaratti,IN,81.41,overcast clouds,10.5669,72.642,Green leaf
160,Manaure,CO,88.25,overcast clouds,11.7751,-72.4445,Hotel Palaaima
162,Acapulco,MX,84.04,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
172,Varkkallai,IN,82.18,overcast clouds,8.7341,76.7067,Hindustan Beach Retreat
195,Ahuimanu,US,83.17,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
196,Lorengau,PG,80.94,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
199,Sakakah,SA,83.77,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
200,Marsa Matruh,EG,82.6,clear sky,31.3525,27.2453,Beau Site
203,Bodden Town,KY,87.8,few clouds,19.2833,-81.25,Will T Place
206,Lamar,US,85.98,clear sky,33.6668,-95.5836,Kings Inn Paris TX
