City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tumpat,MY,6.1978,102.171,78.78,83,20,2.3,few clouds
1,Constitucion,CL,-35.3333,-72.4167,63.48,65,18,2.37,few clouds
2,Wellington,NZ,-41.2866,174.7756,50.58,97,100,27.63,light rain
3,Saint-Philippe,RE,-21.3585,55.7679,67.59,78,44,11.72,scattered clouds
4,Tuatapere,NZ,-46.1333,167.6833,35.46,94,45,3.85,scattered clouds
5,Punta Arenas,CL,-53.15,-70.9167,48.31,43,20,25.32,few clouds
6,Manggar,ID,-2.8833,108.2667,78.4,85,100,5.5,heavy intensity rain
7,Pietarsaari,FI,63.65,22.6833,45.9,90,100,12.3,overcast clouds
8,Vaini,TO,-21.2,-175.2,73.56,78,75,8.05,broken clouds
9,Ripoll,ES,42.2006,2.1903,62.58,77,2,1.01,clear sky
10,Hobyo,SO,5.3505,48.5268,76.55,87,89,22.01,overcast clouds
11,Kapaa,US,22.0752,-159.319,81.48,87,20,5.75,few clouds
12,Alofi,NU,-19.0595,-169.9187,71.49,83,43,19.06,scattered clouds
13,Burnie,AU,-41.0667,145.9167,44.92,81,8,5.86,clear sky
14,Hobart,AU,-42.8794,147.3294,44.46,87,20,5.75,few clouds
15,Jieshi,CN,22.8134,115.8257,79.27,85,8,9.35,clear sky
16,Rikitea,PF,-23.1203,-134.9692,73.6,73,34,12.8,scattered clouds
17,Jamestown,US,42.097,-79.2353,61.02,52,0,14.97,clear sky
18,San Pedro,PH,14.35,121.0167,81.63,79,20,2.3,few clouds
19,Taoudenni,ML,22.6783,-3.9836,93.63,15,1,7.9,clear sky
20,Mangai,CD,-4.05,19.5333,71.67,92,100,0.47,light rain
21,Mahebourg,MU,-20.4081,57.7,71.89,68,75,14.97,broken clouds
22,Ilulissat,GL,69.2167,-51.1,29.21,76,72,3.4,broken clouds
23,Sanchursk,RU,56.9413,47.2499,53.91,94,100,15.7,overcast clouds
24,Upernavik,GL,72.7868,-56.1549,22.69,85,23,4.83,few clouds
25,Annau,TM,37.8876,58.516,65.7,30,20,0.0,few clouds
26,Yatou,CN,37.15,122.3833,65.98,88,100,14.07,moderate rain
27,Mar Del Plata,AR,-38.0023,-57.5575,68.02,53,0,11.5,clear sky
28,Hermanus,ZA,-34.4187,19.2345,57.79,75,100,9.98,overcast clouds
29,Butaritari,KI,3.0707,172.7902,81.7,75,100,15.14,light rain
30,Ust-Tsilma,RU,65.441,52.1498,39.97,97,100,6.51,overcast clouds
31,Clyde River,CA,70.4692,-68.5914,32.23,74,100,13.8,overcast clouds
32,Gobabis,NA,-22.45,18.9667,76.6,17,1,11.5,clear sky
33,Busselton,AU,-33.65,115.3333,54.54,86,79,15.28,broken clouds
34,Mataura,NZ,-46.1927,168.8643,33.55,97,21,1.77,few clouds
35,Barrow,US,71.2906,-156.7887,28.42,74,100,13.8,overcast clouds
36,Atar,MR,20.5169,-13.0499,87.15,23,0,9.55,clear sky
37,Ushuaia,AR,-54.8,-68.3,44.26,61,40,26.46,scattered clouds
38,Matara,LK,5.9485,80.5353,78.49,85,79,13.98,broken clouds
39,Dekar,BW,-21.5333,21.9333,77.92,19,0,7.94,clear sky
40,Prince Rupert,CA,54.3161,-130.3201,58.69,85,100,26.46,overcast clouds
41,Labytnangi,RU,66.6572,66.4183,30.87,75,100,8.34,overcast clouds
42,Djougou,BJ,9.7085,1.666,72.03,95,100,4.54,moderate rain
43,Yellowknife,CA,62.456,-114.3525,55.92,76,75,10.36,broken clouds
44,Tiksi,RU,71.6872,128.8694,16.88,91,99,11.97,overcast clouds
45,Deer Lake,CA,49.1667,-57.4316,55.26,82,100,8.05,overcast clouds
46,Qaanaaq,GL,77.484,-69.3632,9.84,73,0,6.24,clear sky
47,Hilo,US,19.7297,-155.09,86.29,58,0,4.61,clear sky
48,Nikolskoye,RU,59.7035,30.7861,42.69,91,100,2.28,overcast clouds
49,Mikhaylovsk,RU,45.1283,42.0256,66.42,55,0,7.0,clear sky
50,Codrington,AU,-38.2667,141.9667,44.01,88,0,5.23,clear sky
51,Ubon Ratchathani,TH,15.1667,105.1667,76.89,94,100,5.17,light rain
52,Bethel,US,41.3712,-73.414,60.89,55,100,12.66,overcast clouds
53,Husavik,IS,66.0449,-17.3389,45.99,94,100,16.64,overcast clouds
